agents,cost,time,generate,expande,collisionMax
NathanInstances/scen-random/random-32-32-20-random-1.scen,204,0.19,5,3,1
NathanInstances/scen-random/random-32-32-20-random-10.scen,225,0.34,11,6,1
NathanInstances/scen-random/random-32-32-20-random-11.scen,221,0.13,3,2,1
NathanInstances/scen-random/random-32-32-20-random-12.scen,225,0.3,13,7,3
NathanInstances/scen-random/random-32-32-20-random-13.scen,220,0.99,39,20,1
NathanInstances/scen-random/random-32-32-20-random-14.scen,210,0.08,3,2,1
NathanInstances/scen-random/random-32-32-20-random-15.scen,163,0.06,1,1,0
NathanInstances/scen-random/random-32-32-20-random-16.scen,240,0.93,39,20,22
NathanInstances/scen-random/random-32-32-20-random-17.scen,204,0.09,3,2,1
NathanInstances/scen-random/random-32-32-20-random-18.scen,233,0.06,1,1,0
NathanInstances/scen-random/random-32-32-20-random-19.scen,264,0.39,17,9,12
NathanInstances/scen-random/random-32-32-20-random-2.scen,203,0.18,5,3,1
NathanInstances/scen-random/random-32-32-20-random-20.scen,228,0.21,7,4,1
NathanInstances/scen-random/random-32-32-20-random-21.scen,265,1.65,17,9,1
NathanInstances/scen-random/random-32-32-20-random-22.scen,211,0.34,7,4,7
NathanInstances/scen-random/random-32-32-20-random-23.scen,240,0.41,11,6,16
NathanInstances/scen-random/random-32-32-20-random-24.scen,155,0.16,5,3,1
NathanInstances/scen-random/random-32-32-20-random-25.scen,253,0.09,3,2,14
NathanInstances/scen-random/random-32-32-20-random-3.scen,206,0.16,7,4,1
NathanInstances/scen-random/random-32-32-20-random-4.scen,240,0.16,7,4,1
NathanInstances/scen-random/random-32-32-20-random-5.scen,289,0.09,3,2,1
NathanInstances/scen-random/random-32-32-20-random-6.scen,228,0.06,1,1,0
NathanInstances/scen-random/random-32-32-20-random-7.scen,228,0.13,5,3,3
NathanInstances/scen-random/random-32-32-20-random-8.scen,232,0.18,7,4,1
NathanInstances/scen-random/random-32-32-20-random-9.scen,194,1.58,49,25,4
